Place Name;Rahayu 2;Mawar Baciro;Santi;Be-Em;Griya Sehati
Rahayu 2;;2,24;4,85;3,88;2,03
Mawar Baciro;;;6,21;5,34;3,39
Santi;;;;5,21;3,42
Be-Em;;;;;4,64
Griya Sehati;;;;;

**Distance in kilometer
